id,danceName,artist,danceType,aliases_pipe,styleTags_pipe,sceneTags_pipe,outfitKeywords_pipe,avoidKeywords_pipe,stageOutfitSummary,reviewNotes
gg-003,Savage,aespa,女团,savage|aespa savage|savage,未来感|力量|暗黑,练舞房|舞台|日常,皮革|金属|短靴,,aespa《Savage》偏未来感与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-004,Dreams Come True,aespa,女团,dreams come true|aespa dreams come true|dreamscometrue,未来感|力量|暗黑,练舞房|舞台|日常,皮革|金属|短靴,,aespa《Dreams Come True》偏未来感与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-005,Girls,aespa,女团,girls|aespa girls|girls,未来感|力量|暗黑,练舞房|舞台|日常,皮革|金属|短靴,,aespa《Girls》偏未来感与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-006,Illusion,aespa,女团,illusion|aespa illusion|illusion,未来感|力量|暗黑,练舞房|舞台|日常,皮革|金属|短靴,,aespa《Illusion》偏未来感与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-007,Spicy,aespa,女团,spicy|aespa spicy|spicy,未来感|力量|暗黑,练舞房|舞台|日常,皮革|金属|短靴,,aespa《Spicy》偏未来感与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-008,Thirsty,aespa,女团,thirsty|aespa thirsty|thirsty,未来感|力量|暗黑,练舞房|舞台|日常,皮革|金属|短靴,,aespa《Thirsty》偏未来感与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-009,Better Things,aespa,女团,better things|aespa better things|betterthings,未来感|力量|暗黑,练舞房|舞台|日常,皮革|金属|短靴,,aespa《Better Things》偏未来感与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-010,Drama,aespa,女团,drama|aespa drama|drama,未来感|力量|暗黑,练舞房|舞台|日常,皮革|金属|短靴,,aespa《Drama》偏未来感与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-011,Trick or Trick,aespa,女团,trick or trick|aespa trick or trick|trickortrick,未来感|力量|暗黑,练舞房|舞台|日常,皮革|金属|短靴,,aespa《Trick or Trick》偏未来感与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-012,Supernova,aespa,女团,supernova|aespa supernova|supernova,未来感|力量|暗黑,练舞房|舞台|日常,皮革|金属|短靴,,aespa《Supernova》偏未来感与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-013,Armageddon,aespa,女团,armageddon|aespa armageddon|armageddon,未来感|力量|暗黑,练舞房|舞台|日常,皮革|金属|短靴,,aespa《Armageddon》偏未来感与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-014,Whiplash,aespa,女团,whiplash|aespa whiplash|whiplash,未来感|力量|暗黑,练舞房|舞台|日常,皮革|金属|短靴,,aespa《Whiplash》偏未来感与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-015,Live My Life,aespa,女团,live my life|aespa live my life|livemylife,未来感|力量|暗黑,练舞房|舞台|日常,皮革|金属|短靴,,aespa《Live My Life》偏未来感与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-016,Hot Mess,aespa,女团,hot mess|aespa hot mess|hotmess,未来感|力量|暗黑,练舞房|舞台|日常,皮革|金属|短靴,,aespa《Hot Mess》偏未来感与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-017,Forever,aespa,女团,forever|aespa forever|forever,未来感|力量|暗黑,练舞房|舞台|日常,皮革|金属|短靴,,aespa《Forever》偏未来感与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-018,Shhh,KISS OF LIFE,女团,shhh|kiss of life shhh|shhh,性感|R&B|辣妹,练舞房|舞台|日常,修身|短上衣|高跟感,,KISS OF LIFE《Shhh》偏性感与R&B，建议选择便于发力且有舞台层次感的女团搭配。,
gg-019,Bad News,KISS OF LIFE,女团,bad news|kiss of life bad news|badnews,性感|R&B|辣妹,练舞房|舞台|日常,修身|短上衣|高跟感,,KISS OF LIFE《Bad News》偏性感与R&B，建议选择便于发力且有舞台层次感的女团搭配。,
gg-020,Nobody Knows,KISS OF LIFE,女团,nobody knows|kiss of life nobody knows|nobodyknows,性感|R&B|辣妹,练舞房|舞台|日常,修身|短上衣|高跟感,,KISS OF LIFE《Nobody Knows》偏性感与R&B，建议选择便于发力且有舞台层次感的女团搭配。,
gg-021,Midas Touch,KISS OF LIFE,女团,midas touch|kiss of life midas touch|midastouch,性感|R&B|辣妹,练舞房|舞台|日常,修身|短上衣|高跟感,,KISS OF LIFE《Midas Touch》偏性感与R&B，建议选择便于发力且有舞台层次感的女团搭配。,
gg-022,Sticky,KISS OF LIFE,女团,sticky|kiss of life sticky|sticky,性感|R&B|辣妹,练舞房|舞台|日常,修身|短上衣|高跟感,,KISS OF LIFE《Sticky》偏性感与R&B，建议选择便于发力且有舞台层次感的女团搭配。,
gg-023,TTG,KISS OF LIFE,女团,ttg|kiss of life ttg|ttg,性感|R&B|辣妹,练舞房|舞台|日常,修身|短上衣|高跟感,,KISS OF LIFE《TTG》偏性感与R&B，建议选择便于发力且有舞台层次感的女团搭配。,
gg-024,Get Loud,KISS OF LIFE,女团,get loud|kiss of life get loud|getloud,性感|R&B|辣妹,练舞房|舞台|日常,修身|短上衣|高跟感,,KISS OF LIFE《Get Loud》偏性感与R&B，建议选择便于发力且有舞台层次感的女团搭配。,
gg-025,Igloo,KISS OF LIFE,女团,igloo|kiss of life igloo|igloo,性感|R&B|辣妹,练舞房|舞台|日常,修身|短上衣|高跟感,,KISS OF LIFE《Igloo》偏性感与R&B，建议选择便于发力且有舞台层次感的女团搭配。,
gg-026,R.E.M,KISS OF LIFE,女团,r.e.m|kiss of life r.e.m|r.e.m,性感|R&B|辣妹,练舞房|舞台|日常,修身|短上衣|高跟感,,KISS OF LIFE《R.E.M》偏性感与R&B，建议选择便于发力且有舞台层次感的女团搭配。,
gg-027,Chemistry,KISS OF LIFE,女团,chemistry|kiss of life chemistry|chemistry,性感|R&B|辣妹,练舞房|舞台|日常,修身|短上衣|高跟感,,KISS OF LIFE《Chemistry》偏性感与R&B，建议选择便于发力且有舞台层次感的女团搭配。,
gg-028,Bye My Neverland,KISS OF LIFE,女团,bye my neverland|kiss of life bye my neverland|byemyneverland,性感|R&B|辣妹,练舞房|舞台|日常,修身|短上衣|高跟感,,KISS OF LIFE《Bye My Neverland》偏性感与R&B，建议选择便于发力且有舞台层次感的女团搭配。,
gg-029,Sugarcoat (NATTY Solo),KISS OF LIFE,女团,sugarcoat (natty solo)|kiss of life sugarcoat (natty solo)|sugarcoat(nattysolo),性感|R&B|辣妹,练舞房|舞台|日常,修身|短上衣|高跟感,,KISS OF LIFE《Sugarcoat (NATTY Solo)》偏性感与R&B，建议选择便于发力且有舞台层次感的女团搭配。,
gg-030,Countdown (Belle Solo),KISS OF LIFE,女团,countdown (belle solo)|kiss of life countdown (belle solo)|countdown(bellesolo),性感|R&B|辣妹,练舞房|舞台|日常,修身|短上衣|高跟感,,KISS OF LIFE《Countdown (Belle Solo)》偏性感与R&B，建议选择便于发力且有舞台层次感的女团搭配。,
gg-031,Kitty Cat (Julie Solo),KISS OF LIFE,女团,kitty cat (julie solo)|kiss of life kitty cat (julie solo)|kittycat(juliesolo),性感|R&B|辣妹,练舞房|舞台|日常,修身|短上衣|高跟感,,KISS OF LIFE《Kitty Cat (Julie Solo)》偏性感与R&B，建议选择便于发力且有舞台层次感的女团搭配。,
gg-032,Play Love Games (Haneul Solo),KISS OF LIFE,女团,play love games (haneul solo)|kiss of life play love games (haneul solo)|playlovegames(haneulsolo),性感|R&B|辣妹,练舞房|舞台|日常,修身|短上衣|高跟感,,KISS OF LIFE《Play Love Games (Haneul Solo)》偏性感与R&B，建议选择便于发力且有舞台层次感的女团搭配。,
gg-033,Attention,NewJeans,女团,attention|newjeans attention|attention,清新|Y2K|元气,练舞房|舞台|日常,运动鞋|宽松裤|发夹,,NewJeans《Attention》偏清新与Y2K，建议选择便于发力且有舞台层次感的女团搭配。,
gg-034,Hype Boy,NewJeans,女团,hype boy|newjeans hype boy|hypeboy,清新|Y2K|元气,练舞房|舞台|日常,运动鞋|宽松裤|发夹,,NewJeans《Hype Boy》偏清新与Y2K，建议选择便于发力且有舞台层次感的女团搭配。,
gg-035,Cookie,NewJeans,女团,cookie|newjeans cookie|cookie,清新|Y2K|元气,练舞房|舞台|日常,运动鞋|宽松裤|发夹,,NewJeans《Cookie》偏清新与Y2K，建议选择便于发力且有舞台层次感的女团搭配。,
gg-036,Hurt,NewJeans,女团,hurt|newjeans hurt|hurt,清新|Y2K|元气,练舞房|舞台|日常,运动鞋|宽松裤|发夹,,NewJeans《Hurt》偏清新与Y2K，建议选择便于发力且有舞台层次感的女团搭配。,
gg-037,Ditto,NewJeans,女团,ditto|newjeans ditto|ditto,清新|Y2K|元气,练舞房|舞台|日常,运动鞋|宽松裤|发夹,,NewJeans《Ditto》偏清新与Y2K，建议选择便于发力且有舞台层次感的女团搭配。,
gg-038,OMG,NewJeans,女团,omg|newjeans omg|omg,清新|Y2K|元气,练舞房|舞台|日常,运动鞋|宽松裤|发夹,,NewJeans《OMG》偏清新与Y2K，建议选择便于发力且有舞台层次感的女团搭配。,
gg-039,Zero,NewJeans,女团,zero|newjeans zero|zero,清新|Y2K|元气,练舞房|舞台|日常,运动鞋|宽松裤|发夹,,NewJeans《Zero》偏清新与Y2K，建议选择便于发力且有舞台层次感的女团搭配。,
gg-040,Super Shy,NewJeans,女团,super shy|newjeans super shy|supershy,清新|Y2K|元气,练舞房|舞台|日常,运动鞋|宽松裤|发夹,,NewJeans《Super Shy》偏清新与Y2K，建议选择便于发力且有舞台层次感的女团搭配。,
gg-041,ETA,NewJeans,女团,eta|newjeans eta|eta,清新|Y2K|元气,练舞房|舞台|日常,运动鞋|宽松裤|发夹,,NewJeans《ETA》偏清新与Y2K，建议选择便于发力且有舞台层次感的女团搭配。,
gg-042,Cool With You,NewJeans,女团,cool with you|newjeans cool with you|coolwithyou,清新|Y2K|元气,练舞房|舞台|日常,运动鞋|宽松裤|发夹,,NewJeans《Cool With You》偏清新与Y2K，建议选择便于发力且有舞台层次感的女团搭配。,
gg-043,New Jeans,NewJeans,女团,new jeans|newjeans new jeans|newjeans,清新|Y2K|元气,练舞房|舞台|日常,运动鞋|宽松裤|发夹,,NewJeans《New Jeans》偏清新与Y2K，建议选择便于发力且有舞台层次感的女团搭配。,
gg-044,ASAP,NewJeans,女团,asap|newjeans asap|asap,清新|Y2K|元气,练舞房|舞台|日常,运动鞋|宽松裤|发夹,,NewJeans《ASAP》偏清新与Y2K，建议选择便于发力且有舞台层次感的女团搭配。,
gg-045,How Sweet,NewJeans,女团,how sweet|newjeans how sweet|howsweet,清新|Y2K|元气,练舞房|舞台|日常,运动鞋|宽松裤|发夹,,NewJeans《How Sweet》偏清新与Y2K，建议选择便于发力且有舞台层次感的女团搭配。,
gg-046,Bubble Gum,NewJeans,女团,bubble gum|newjeans bubble gum|bubblegum,清新|Y2K|元气,练舞房|舞台|日常,运动鞋|宽松裤|发夹,,NewJeans《Bubble Gum》偏清新与Y2K，建议选择便于发力且有舞台层次感的女团搭配。,
gg-047,Right Now,NewJeans,女团,right now|newjeans right now|rightnow,清新|Y2K|元气,练舞房|舞台|日常,运动鞋|宽松裤|发夹,,NewJeans《Right Now》偏清新与Y2K，建议选择便于发力且有舞台层次感的女团搭配。,
gg-048,Supernatural,NewJeans,女团,supernatural|newjeans supernatural|supernatural,清新|Y2K|元气,练舞房|舞台|日常,运动鞋|宽松裤|发夹,,NewJeans《Supernatural》偏清新与Y2K，建议选择便于发力且有舞台层次感的女团搭配。,
gg-049,ELEVEN,IVE,女团,eleven|ive eleven|eleven,华丽|自信|甜辣,练舞房|舞台|日常,短上衣|短裙|亮面配饰,,IVE《ELEVEN》偏华丽与自信，建议选择便于发力且有舞台层次感的女团搭配。,
gg-050,LOVE DIVE,IVE,女团,love dive|ive love dive|lovedive,华丽|自信|甜辣,练舞房|舞台|日常,短上衣|短裙|亮面配饰,,IVE《LOVE DIVE》偏华丽与自信，建议选择便于发力且有舞台层次感的女团搭配。,
gg-051,After LIKE,IVE,女团,after like|ive after like|afterlike,华丽|自信|甜辣,练舞房|舞台|日常,短上衣|短裙|亮面配饰,,IVE《After LIKE》偏华丽与自信，建议选择便于发力且有舞台层次感的女团搭配。,
gg-052,Kitsch,IVE,女团,kitsch|ive kitsch|kitsch,华丽|自信|甜辣,练舞房|舞台|日常,短上衣|短裙|亮面配饰,,IVE《Kitsch》偏华丽与自信，建议选择便于发力且有舞台层次感的女团搭配。,
gg-053,I AM,IVE,女团,i am|ive i am|iam,华丽|自信|甜辣,练舞房|舞台|日常,短上衣|短裙|亮面配饰,,IVE《I AM》偏华丽与自信，建议选择便于发力且有舞台层次感的女团搭配。,
gg-054,Baddie,IVE,女团,baddie|ive baddie|baddie,华丽|自信|甜辣,练舞房|舞台|日常,短上衣|短裙|亮面配饰,,IVE《Baddie》偏华丽与自信，建议选择便于发力且有舞台层次感的女团搭配。,
gg-055,Either Way,IVE,女团,either way|ive either way|eitherway,华丽|自信|甜辣,练舞房|舞台|日常,短上衣|短裙|亮面配饰,,IVE《Either Way》偏华丽与自信，建议选择便于发力且有舞台层次感的女团搭配。,
gg-056,Off The Record,IVE,女团,off the record|ive off the record|offtherecord,华丽|自信|甜辣,练舞房|舞台|日常,短上衣|短裙|亮面配饰,,IVE《Off The Record》偏华丽与自信，建议选择便于发力且有舞台层次感的女团搭配。,
gg-057,HEYA,IVE,女团,heya|ive heya|heya,华丽|自信|甜辣,练舞房|舞台|日常,短上衣|短裙|亮面配饰,,IVE《HEYA》偏华丽与自信，建议选择便于发力且有舞台层次感的女团搭配。,
gg-058,Accendio,IVE,女团,accendio|ive accendio|accendio,华丽|自信|甜辣,练舞房|舞台|日常,短上衣|短裙|亮面配饰,,IVE《Accendio》偏华丽与自信，建议选择便于发力且有舞台层次感的女团搭配。,
gg-059,Blue Blood,IVE,女团,blue blood|ive blue blood|blueblood,华丽|自信|甜辣,练舞房|舞台|日常,短上衣|短裙|亮面配饰,,IVE《Blue Blood》偏华丽与自信，建议选择便于发力且有舞台层次感的女团搭配。,
gg-060,Royal,IVE,女团,royal|ive royal|royal,华丽|自信|甜辣,练舞房|舞台|日常,短上衣|短裙|亮面配饰,,IVE《Royal》偏华丽与自信，建议选择便于发力且有舞台层次感的女团搭配。,
gg-061,Love me like this (IVE),IVE,女团,love me like this (ive)|ive love me like this (ive)|lovemelikethis(ive),华丽|自信|甜辣,练舞房|舞台|日常,短上衣|短裙|亮面配饰,,IVE《Love me like this (IVE)》偏华丽与自信，建议选择便于发力且有舞台层次感的女团搭配。,
gg-062,Not Your Girl,IVE,女团,not your girl|ive not your girl|notyourgirl,华丽|自信|甜辣,练舞房|舞台|日常,短上衣|短裙|亮面配饰,,IVE《Not Your Girl》偏华丽与自信，建议选择便于发力且有舞台层次感的女团搭配。,
gg-063,Mine,IVE,女团,mine|ive mine|mine,华丽|自信|甜辣,练舞房|舞台|日常,短上衣|短裙|亮面配饰,,IVE《Mine》偏华丽与自信，建议选择便于发力且有舞台层次感的女团搭配。,
gg-064,Cherish,IVE,女团,cherish|ive cherish|cherish,华丽|自信|甜辣,练舞房|舞台|日常,短上衣|短裙|亮面配饰,,IVE《Cherish》偏华丽与自信，建议选择便于发力且有舞台层次感的女团搭配。,
gg-065,Dalla Dalla,ITZY,女团,dalla dalla|itzy dalla dalla|dalladalla,Girl Crush|力量|运动,练舞房|舞台|日常,工装|运动鞋|机能风,,ITZY《Dalla Dalla》偏Girl Crush与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-066,ICY,ITZY,女团,icy|itzy icy|icy,Girl Crush|力量|运动,练舞房|舞台|日常,工装|运动鞋|机能风,,ITZY《ICY》偏Girl Crush与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-067,Wannabe,ITZY,女团,wannabe|itzy wannabe|wannabe,Girl Crush|力量|运动,练舞房|舞台|日常,工装|运动鞋|机能风,,ITZY《Wannabe》偏Girl Crush与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-068,Not Shy,ITZY,女团,not shy|itzy not shy|notshy,Girl Crush|力量|运动,练舞房|舞台|日常,工装|运动鞋|机能风,,ITZY《Not Shy》偏Girl Crush与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-069,Mafia In the Morning,ITZY,女团,mafia in the morning|itzy mafia in the morning|mafiainthemorning,Girl Crush|力量|运动,练舞房|舞台|日常,工装|运动鞋|机能风,,ITZY《Mafia In the Morning》偏Girl Crush与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-070,Loco,ITZY,女团,loco|itzy loco|loco,Girl Crush|力量|运动,练舞房|舞台|日常,工装|运动鞋|机能风,,ITZY《Loco》偏Girl Crush与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-071,Sneakers,ITZY,女团,sneakers|itzy sneakers|sneakers,Girl Crush|力量|运动,练舞房|舞台|日常,工装|运动鞋|机能风,,ITZY《Sneakers》偏Girl Crush与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-072,Cheshire,ITZY,女团,cheshire|itzy cheshire|cheshire,Girl Crush|力量|运动,练舞房|舞台|日常,工装|运动鞋|机能风,,ITZY《Cheshire》偏Girl Crush与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-073,Cake,ITZY,女团,cake|itzy cake|cake,Girl Crush|力量|运动,练舞房|舞台|日常,工装|运动鞋|机能风,,ITZY《Cake》偏Girl Crush与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-074,Untouchable,ITZY,女团,untouchable|itzy untouchable|untouchable,Girl Crush|力量|运动,练舞房|舞台|日常,工装|运动鞋|机能风,,ITZY《Untouchable》偏Girl Crush与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-075,Mr. Vampire,ITZY,女团,mr. vampire|itzy mr. vampire|mr.vampire,Girl Crush|力量|运动,练舞房|舞台|日常,工装|运动鞋|机能风,,ITZY《Mr. Vampire》偏Girl Crush与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-076,Born to Be,ITZY,女团,born to be|itzy born to be|borntobe,Girl Crush|力量|运动,练舞房|舞台|日常,工装|运动鞋|机能风,,ITZY《Born to Be》偏Girl Crush与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-077,Ringo,ITZY,女团,ringo|itzy ringo|ringo,Girl Crush|力量|运动,练舞房|舞台|日常,工装|运动鞋|机能风,,ITZY《Ringo》偏Girl Crush与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-078,Voltage,ITZY,女团,voltage|itzy voltage|voltage,Girl Crush|力量|运动,练舞房|舞台|日常,工装|运动鞋|机能风,,ITZY《Voltage》偏Girl Crush与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-079,Swipe,ITZY,女团,swipe|itzy swipe|swipe,Girl Crush|力量|运动,练舞房|舞台|日常,工装|运动鞋|机能风,,ITZY《Swipe》偏Girl Crush与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-080,None of My Business,ITZY,女团,none of my business|itzy none of my business|noneofmybusiness,Girl Crush|力量|运动,练舞房|舞台|日常,工装|运动鞋|机能风,,ITZY《None of My Business》偏Girl Crush与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-081,Magnetic,ILLIT,女团,magnetic|illit magnetic|magnetic,甜美|元气|梦幻,练舞房|舞台|日常,针织|百褶裙|蝴蝶结,,ILLIT《Magnetic》偏甜美与元气，建议选择便于发力且有舞台层次感的女团搭配。,
gg-082,Lucky Girl Syndrome,ILLIT,女团,lucky girl syndrome|illit lucky girl syndrome|luckygirlsyndrome,甜美|元气|梦幻,练舞房|舞台|日常,针织|百褶裙|蝴蝶结,,ILLIT《Lucky Girl Syndrome》偏甜美与元气，建议选择便于发力且有舞台层次感的女团搭配。,
gg-083,Midnight Fiction,ILLIT,女团,midnight fiction|illit midnight fiction|midnightfiction,甜美|元气|梦幻,练舞房|舞台|日常,针织|百褶裙|蝴蝶结,,ILLIT《Midnight Fiction》偏甜美与元气，建议选择便于发力且有舞台层次感的女团搭配。,
gg-084,My World,ILLIT,女团,my world|illit my world|myworld,甜美|元气|梦幻,练舞房|舞台|日常,针织|百褶裙|蝴蝶结,,ILLIT《My World》偏甜美与元气，建议选择便于发力且有舞台层次感的女团搭配。,
gg-085,Tick-Tack,ILLIT,女团,tick-tack|illit tick-tack|tick-tack,甜美|元气|梦幻,练舞房|舞台|日常,针织|百褶裙|蝴蝶结,,ILLIT《Tick-Tack》偏甜美与元气，建议选择便于发力且有舞台层次感的女团搭配。,
gg-086,Cherish (My Love),ILLIT,女团,cherish (my love)|illit cherish (my love)|cherish(mylove),甜美|元气|梦幻,练舞房|舞台|日常,针织|百褶裙|蝴蝶结,,ILLIT《Cherish (My Love)》偏甜美与元气，建议选择便于发力且有舞台层次感的女团搭配。,
gg-087,IYKYK,ILLIT,女团,iykyk|illit iykyk|iykyk,甜美|元气|梦幻,练舞房|舞台|日常,针织|百褶裙|蝴蝶结,,ILLIT《IYKYK》偏甜美与元气，建议选择便于发力且有舞台层次感的女团搭配。,
gg-088,Pimple,ILLIT,女团,pimple|illit pimple|pimple,甜美|元气|梦幻,练舞房|舞台|日常,针织|百褶裙|蝴蝶结,,ILLIT《Pimple》偏甜美与元气，建议选择便于发力且有舞台层次感的女团搭配。,
gg-089,I’ll Like You,ILLIT,女团,i’ll like you|illit i’ll like you|i’lllikeyou,甜美|元气|梦幻,练舞房|舞台|日常,针织|百褶裙|蝴蝶结,,ILLIT《I’ll Like You》偏甜美与元气，建议选择便于发力且有舞台层次感的女团搭配。,
gg-090,Almond Chocolate,ILLIT,女团,almond chocolate|illit almond chocolate|almondchocolate,甜美|元气|梦幻,练舞房|舞台|日常,针织|百褶裙|蝴蝶结,,ILLIT《Almond Chocolate》偏甜美与元气，建议选择便于发力且有舞台层次感的女团搭配。,
gg-091,Do the Dance,ILLIT,女团,do the dance|illit do the dance|dothedance,甜美|元气|梦幻,练舞房|舞台|日常,针织|百褶裙|蝴蝶结,,ILLIT《Do the Dance》偏甜美与元气，建议选择便于发力且有舞台层次感的女团搭配。,
gg-092,Little Monster,ILLIT,女团,little monster|illit little monster|littlemonster,甜美|元气|梦幻,练舞房|舞台|日常,针织|百褶裙|蝴蝶结,,ILLIT《Little Monster》偏甜美与元气，建议选择便于发力且有舞台层次感的女团搭配。,
gg-093,Jellyous,ILLIT,女团,jellyous|illit jellyous|jellyous,甜美|元气|梦幻,练舞房|舞台|日常,针织|百褶裙|蝴蝶结,,ILLIT《Jellyous》偏甜美与元气，建议选择便于发力且有舞台层次感的女团搭配。,
gg-094,Aim High,ILLIT,女团,aim high|illit aim high|aimhigh,甜美|元气|梦幻,练舞房|舞台|日常,针织|百褶裙|蝴蝶结,,ILLIT《Aim High》偏甜美与元气，建议选择便于发力且有舞台层次感的女团搭配。,
gg-095,Otw,ILLIT,女团,otw|illit otw|otw,甜美|元气|梦幻,练舞房|舞台|日常,针织|百褶裙|蝴蝶结,,ILLIT《Otw》偏甜美与元气，建议选择便于发力且有舞台层次感的女团搭配。,
gg-096,Borrowed Cat,ILLIT,女团,borrowed cat|illit borrowed cat|borrowedcat,甜美|元气|梦幻,练舞房|舞台|日常,针织|百褶裙|蝴蝶结,,ILLIT《Borrowed Cat》偏甜美与元气，建议选择便于发力且有舞台层次感的女团搭配。,
gg-097,Salty & Sweet,aespa,女团,salty & sweet|aespa salty & sweet|salty&sweet,未来感|力量|暗黑,练舞房|舞台|日常,皮革|金属|短靴,,aespa《Salty & Sweet》偏未来感与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-098,Rebel Heart,IVE,女团,rebel heart|ive rebel heart|rebelheart,华丽|自信|甜辣,练舞房|舞台|日常,短上衣|短裙|亮面配饰,,IVE《Rebel Heart》偏华丽与自信，建议选择便于发力且有舞台层次感的女团搭配。,
gg-099,Imaginary Friend,ITZY,女团,imaginary friend|itzy imaginary friend|imaginaryfriend,Girl Crush|力量|运动,练舞房|舞台|日常,工装|运动鞋|机能风,,ITZY《Imaginary Friend》偏Girl Crush与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-100,Gods,NewJeans,女团,gods|newjeans gods|gods,清新|Y2K|元气,练舞房|舞台|日常,运动鞋|宽松裤|发夹,,NewJeans《Gods》偏清新与Y2K，建议选择便于发力且有舞台层次感的女团搭配。,
